sample,unit,depth,quartz,plagioclase,kfeldspar,chert,shale,volcanic,,Q,F,L,Qm,F,Lt,Qp,Lv,Ls,Qm,P,K
A-3,A,3896,29,25,10,3,1,32,,32,35,33,29,35,36,8,3,89,45,39,16
A-4,A,3845,40,29,5,0,2,24,,40,34,26,40,34,26,0,8,92,54,39,7
A-7,A,3735,47,26,20,1,1,5,,48,46,6,47,46,7,14,14,71,51,28,22
C-1,C,3080,32,28,32,0,0,8,,32,60,8,32,60,8,0,0,100,35,30,35
C-7,C,2843,44,22,24,1,2,7,,45,46,9,44,46,10,10,20,70,49,24,27
H-1,H,2253,82,5,5,7,1,0,,89,10,1,82,10,8,88,13,0,89,5,5
H-2,H,2208,78,7,9,4,1,1,,82,16,2,78,16,6,67,17,17,83,7,10
H-7,H,2169,81,4,5,4,6,0,,85,9,6,81,9,10,40,60,0,90,4,6
K-1,K,1785,47,7,0,29,15,2,,76,7,17,47,7,46,63,33,4,87,13,0
K-2,K,1744,65,2,3,21,9,0,,86,5,9,65,5,30,70,30,0,93,3,4
K-4,K,1666,54,2,2,23,17,2,,77,4,19,54,4,42,55,40,5,93,3,3
K-6,K,1540,31,10,3,30,25,1,,61,13,26,31,13,56,54,45,2,70,23,7
K-7,K,1489,73,1,3,10,13,0,,83,4,13,73,4,23,43,57,0,95,1,4
M-1,M,1243,68,12,10,8,2,0,,76,22,2,68,22,10,80,20,0,76,13,11
M-2,M,988,45,12,13,19,9,2,,64,25,11,45,25,30,63,30,7,64,17,19
M-6,M,456,55,12,5,16,4,8,,71,17,12,55,17,28,57,14,29,76,17,7
N-1,N,333,62,7,6,18,6,1,,80,13,7,62,13,25,72,24,4,83,9,8
N-2,N,289,55,21,11,11,0,2,,66,32,2,55,32,13,85,0,15,63,24,13
N-3,N,279,70,15,7,6,2,0,,76,22,2,70,22,8,75,25,0,76,16,8
N-5,N,262,75,7,3,8,7,0,,83,10,7,75,10,15,53,47,0,88,8,4
O-1,O,218,88,0,10,2,0,0,,90,10,0,88,10,2,100,0,0,90,0,10
O-3,O,165,89,0,3,6,1,1,,95,3,2,89,3,8,75,13,13,97,0,3
